airplane,air,1,"airplane,air",2,"air,fly,airplane"
airplane,airport,1,"airplane,airport",2,"airport,trip,airplane"
airplane,attendant,-1,NOT FOUND,,
airplane,cloud,2,"airplane,air,cloud",4,"cloud,soft,pretty,model,airplane"
airplane,flight,1,"airplane,flight",1,"flight,airplane"
airplane,food,3,"airplane,air,supply,food",3,"food,fruit,fly,airplane"
airplane,journey,2,"airplane,travel,journey",2,"journey,trip,airplane"
airplane,luggage,3,"airplane,trip,baggage,luggage",2,"luggage,trip,airplane"
airplane,meal,4,"airplane,air,supply,food,meal",3,"meal,ticket,trip,airplane"
airplane,passenger,3,"airplane,pilot,driver,passenger",2,"passenger,flight,airplane"
airplane,pilot,1,"airplane,pilot",2,"pilot,fly,airplane"
airplane,runway,-1,NOT FOUND,,
airplane,seat,3,"airplane,helicopter,pad,seat",3,"seat,car,transportation,airplane"
airplane,sky,1,"airplane,sky",3,"sky,plane,fly,airplane"
airplane,stewardess,2,"airplane,pilot,stewardess",1,"stewardess,airplane"
airplane,suitcase,3,"airplane,trip,baggage,suitcase",2,"suitcase,trip,airplane"
airplane,travel,1,"airplane,travel",2,"travel,fly,airplane"
airplane,trip,1,"airplane,trip",1,"trip,airplane"
airplane,wings,1,"airplane,wings",2,"wings,fly,airplane"
apple,autumn,4,"apple,peach,pit,fall,autumn",3,"autumn,brown,green,apple"
apple,banana,1,"apple,banana",1,"banana,apple"
apple,core,1,"apple,core",1,"core,apple"
apple,fruit,1,"apple,fruit",1,"fruit,apple"
apple,green,1,"apple,green",1,"green,apple"
apple,juice,2,"apple,orange,juice",1,"juice,apple"
apple,leaf,2,"apple,tree,leaf",2,"leaf,green,apple"
apple,orange,1,"apple,orange",1,"orange,apple"
apple,orchard,-1,NOT FOUND,,
apple,pie,1,"apple,pie",1,"pie,apple"
apple,red,1,"apple,red",2,"red,orange,apple"
apple,seed,1,"apple,seed",1,"seed,apple"
apple,teacher,4,"apple,food,lunch,school,teacher",1,"teacher,apple"
apple,tree,1,"apple,tree",2,"tree,green,apple"
apple,worm,1,"apple,worm",1,"worm,apple"
ax,chop,1,"ax,chop",1,"chop,ax"
ax,cut,1,"ax,cut",3,"cut,wood,chop,ax"
ax,deodarant,-1,NOT FOUND,,
ax,fire,2,"ax,wood,fire",4,"fire,water,ice,pick,ax"
ax,handle,1,"ax,handle",3,"handle,lift,pick,ax"
ax,log,2,"ax,wood,log",3,"log,wood,chop,ax"
ax,lumberjack,-1,NOT FOUND,,
ax,metal,2,"ax,wood,metal",3,"metal,wood,chop,ax"
ax,murderer,4,"ax,cut,pain,killer,murderer",1,"murderer,ax"
ax,spray,3,"ax,kill,roach,spray",4,"spray,water,ice,pick,ax"
ax,steel,3,"ax,saw,mill,steel",4,"steel,hard,wood,chop,ax"
ax,tree,1,"ax,tree",4,"tree,fort,wood,chop,ax"
ax,wood,1,"ax,wood",2,"wood,chop,ax"
baby,blanket,4,"baby,mother,love,warmth,blanket",3,"blanket,bed,soft,baby"
baby,bottle,1,"baby,bottle",1,"bottle,baby"
baby,cradle,2,"baby,cuddle,cradle",1,"cradle,baby"
baby,crib,1,"baby,crib",1,"crib,baby"
baby,cry,1,"baby,cry",1,"cry,baby"
baby,cute,1,"baby,cute",1,"cute,baby"
baby,diaper,1,"baby,diaper",1,"diaper,baby"
baby,milk,3,"baby,rattle,shake,milk",1,"milk,baby"
baby,mother,1,"baby,mother",2,"mother,daughter,baby"
baby,pacify,-1,NOT FOUND,,
baby,small,1,"baby,small",4,"small,little,girl,innocence,baby"
baby,sooth,-1,NOT FOUND,,
baby,towel,3,"baby,diaper,cloth,towel",2,"towel,wipe,baby"
baby,toy,2,"baby,rattle,toy",1,"toy,baby"
bag,book,2,"bag,carry,book",2,"book,paper,bag"
bag,computer,3,"bag,food,apple,computer",2,"computer,chips,bag"
bag,food,1,"bag,food",2,"food,lunch,bag"
bag,groceries,1,"bag,groceries",1,"groceries,bag"
bag,hand,3,"bag,container,holder,hand",3,"hand,hold,carry,bag"
bag,handle,3,"bag,container,holder,handle",1,"handle,bag"
bag,laptop,-1,NOT FOUND,,
bag,paper,1,"bag,paper",1,"paper,bag"
bag,plastic,2,"bag,container,plastic",1,"plastic,bag"
bag,school,2,"bag,lunch,school",3,"school,book,paper,bag"
bag,shopping,1,"bag,shopping",1,"shopping,bag"
bag,wallet,2,"bag,purse,wallet",2,"wallet,briefcase,bag"
bag,woman,2,"bag,pocketbook,woman",4,"woman,love,happy,glad,bag"
bag,zipper,4,"bag,shopping,clothes,pants,zipper",3,"zipper,fly,paper,bag"
baker,apron,-1,NOT FOUND,,
baker,bakery,-1,NOT FOUND,,
baker,bread,1,"baker,bread",6,"bread,food,health,body,builder,maker,baker"
baker,cake,1,"baker,cake",4,"cake,mix,match,maker,baker"
baker,cookie,2,"baker,cake,cookie",5,"cookie,cake,mix,match,maker,baker"
baker,cupcake,-1,NOT FOUND,,
baker,dough,1,"baker,dough",5,"dough,cake,mix,match,maker,baker"
baker,flour,2,"baker,dough,flour",5,"flour,cook,burn,match,maker,baker"
baker,hat,2,"baker,chef,hat",4,"hat,box,match,maker,baker"
baker,muffin,3,"baker,dough,biscuit,muffin",5,"muffin,toast,burn,match,maker,baker"
